user_id	f	p	n
A109N3CBD242BQ	19	2	1
A100NGGXRQF0AQ	97	20	7
A10AWV93D5J6NY	12	8	0
A10NEKX834U7AL	4	1	2
A10AW7H143CP9M	43	6	2
A10OMA130R65RX	25	0	2
A10Q9F43HR2UL	0	1	1
A10C8Q8V2ZQUQQ	44	2	0
A102JIY6OJBZJI	14	2	0
A103I0WKCW3J0G	1	3	0
A10DVR01F8YA82	25	2	1
A10CGLU13CQX7F	0	4	1
A1056MUPHCRWRR	9	1	0
A10FWBSGBUZA2A	17	2	4
A10E22R9V8Y35O	9	3	1
A10IH9GAJ8ZWCD	1	2	0
A10KBD8GQGXE2F	4	1	1
A1097ECLFAHINH	9	5	5
A10AR8JP04SCB3	0	0	2
A10BNMZW0PXH1B	14	1	1
A10H5DP11JSNCZ	0	1	1
A10MECFPZZ5VSA	13	1	2
A105E427BB6J65	170	28	3
A10RX5VVGBO49F	1	1	1
A106V5DADYC9ZW	11	1	0
A1091QU3T1Q671	3	1	0
A10NXX5YZ2B63G	40	0	1
A10TTC100KYE3E	2	0	2
A10PIINYM81DFV	0	1	0
A10IS47QKYEG40	31	2	0
A10R2AUXNJBMG7	12	1	0
A10SMCDXFW0US5	0	0	1
A10DUE7T5F8D3K	19	2	1
A10EVPDBN41SKE	7	2	0
A10U4OEEU3C9WI	11	1	2
A10KO88ID4ZGGV	14	2	0
A106Q1A6LGU4DP	51	11	3
A10KCGSDJJAVRO	39	27	3
A10VLD5LMEYLLY	44	2	0
A10AF8FXPW2L4S	7	0	1
A10I95TL6ZQKQC	11	4	1
A10N329I3QYQLW	11	6	0
A10MMW5CD6O36D	8	0	1
A10XFZEACFL7P6	4	1	1
A10K0C3AF67P1L	3	0	1
A10NYQVI8F1I5	20	1	0
A10UWQK3EIF2HK	6	3	0
A1088JT1L28OP5	21	4	0
A10LYCZWQ6XKAJ	12	2	1
A10WLFN51L0VND	0	1	2
A10BN313U6FFYJ	9	1	0
A10ARISO1UMIUN	51	27	2
A10YT59H28QEAQ	78	4	1
A10DLZU1GK19HQ	0	1	1
A10PP6U16C84OA	3	4	0
A10XWAL4A8GHSB	49	1	1
A10ZWSMAN2ST14	30	2	1
A10Z4HUDNNBII3	10	1	1
A111CI7RVSXO36	0	1	0
A10ES7WR89945N	9	3	1
A10A9HDQ2R8HPF	16	4	1
A10BEBYFUBLKUC	4	0	1
A110HPD3UW13PJ	7	1	1
A1127E6K1NQFA0	1	2	0
A10NSL34GNSTTG	33	2	2
A114ZWXE45RHTN	2	2	1
A111W3T3TOK2IG	12	2	1
A10HYYXOI3WE7M	4	1	1
A10OZVCL6R94AA	1	3	1
A10CRY9MFXE3HH	22	2	0
A10R1WAP6HFFEP	21	3	0
A10E6W7XB4BO5Q	3	2	0
A10SIBX8AEJC2B	0	0	1
A10JXYSB57EAF8	1	1	0
A10U13WC2A8GNH	2	2	0
A10O0YE8YWU8FE	5	1	1
A10HQLCFCO1Q9Q	15	1	0
A10C0TAWDYVMFU	89	4	4
A10L87IJ218XXM	14	3	0
A10DUR426OLQIA	4	4	0
A113J8XXJO2KCU	3	4	0
A10FKTVVROD67	27	0	1
A115DCMM389BJA	6	1	0
A115Z03E9JGRYV	8	2	1
A10Q6XE32AJMBS	0	0	1
A1174SGH1ABGWP	3	2	0
A10ITIL0Q8P1R	1	4	0
A118H2DOYKV0ZJ	2	2	2
A10ROVO4L3YBAY	2	2	1
A10KYA8PU9IWP4	1	1	0
A116B133E2ZBEN	8	1	1
A10NNV2FKX8JXQ	30	7	2
A117OH3ULTYJRH	0	3	0
A118Z11AA54AID	4	1	0
A10IAGH4KOD6NL	35	0	2
A119L4X4Q7R30U	1	0	1
A10OTC2RJOKJRN	0	2	0
A10SY67O0KD3JS	2	1	0
A10QWUWW7ANVS	3	1	1
A10S5HESEN9HNQ	1	0	1
A10K1DLCAOA9F2	1	2	1
A10TTFK35WBSL5	14	0	2
A11AN0PK7N3H7E	47	1	1
A10UXJVEQ52M44	8	1	0
A10WMF3QTUJTFP	2	0	1
A11BN8YR0VP4HP	2	3	0
A10XWC2A28UN2E	1	2	0
A11C76HBI1F0VJ	33	1	0
A11DCWTQE76I74	5	1	0
A10N62DCCQCJFJ	6	3	0
A11A702GISWJ2B	11	5	1
A11FCHAUD7F5YX	4	0	1
A10Z75HQ4GIS95	3	1	0
A10UVFHWTO7U4H	6	1	1
A11GM4G8NDOVKH	10	1	2
A11B80S0TF9NNN	11	1	1
A110YY3Z2Z0R7W	17	0	1
A10VO0XWRNFEBE	29	4	2
A10M3UC279ZXGM	1	1	2
A11HESQXNWF5V6	41	2	0
A10NUCMXA24ORQ	2	1	1
A10OIFEX5KCLCU	24	1	2
A11IXHTZYS8NVX	5	1	1
A10P2R1GMCV9AD	2	1	0
A10XN4PU2UL48B	9	1	1
A11BW5G8WFPUZ8	11	0	1
A10Q8GGHPH3CA6	18	2	1
A10R21YHR557HX	6	1	1
A10SKO8R7YKDDP	4	1	0
A10RTXBXX1KLXI	40	4	0
A10TQ5V4R84HEB	2	1	2
A11KMQGHUJGE2J	0	3	1
A10UWANW09UVAP	50	7	5
A10YVI11BKMOM6	5	2	0
A11CSPOSY0OWHB	39	2	2
A11L5INW5EHZSD	4	2	0
A11EP3IE0KZ8X3	1	2	0
A11NNS8NBWC7NG	24	0	1
A1123L7ANYUTG0	5	6	0
A11G9OKW1Y0ZUS	5	1	1
A11OUNFH7EHW3I	0	0	1
A113MTWVBQOHRU	6	3	0
A10VYNMVS32Z2F	26	6	1
A11QB7AL65J819	40	1	1
A10V4JWZOWWOHJ	11	15	1
A11S1IS0QXRCYY	1	1	1
A11GY3Q8QTCQPC	12	3	1
A11HNYEC0ZIMB1	0	2	0
A10U37EHEGVK5C	29	12	4
A11TFCUPM19NVM	11	3	0
A11UJ1T05EN11W	3	2	0
A11W6DP6IFL9W4	0	0	1
A11XGR2WHHPU80	14	0	1
A10WQF66LJ9SN9	12	1	2
A11Z3P2SBJTYAX	10	1	0
A115K0RECGO0U3	9	3	3
A11JKHOB7W9PGI	18	9	1
A116C0JXYOM5L6	41	4	2
A1204M7ZG7DW77	23	3	1
A121VK9XSBHMPF	2	2	2
A110404CQDE45Y	34	3	0
A10XWPKZM6ABZ1	6	3	3
A117QC68YCGM08	4	0	2
A111ONKYCJ3Y0A	1	1	1
A10ZI8BQZ2VH93	6	1	2
A1193GYDEZ59X1	5	1	1
A110ZUAFKIAYS3	2	0	1
A11A82KYHJLXXK	8	2	2
A11BA090274NG	4	0	1
A1125MB9D16MUB	20	5	1
A10VG0UYRGHUBH	38	2	4
A10XDPVFUPMAJY	2	0	1
A11KSJ9LCHIVNW	140	10	2
A112O4NS1KD5XD	5	4	0
A11LYVSR66ENT9	11	2	0
A10YEDK3YMZZLU	2	1	2
A10ZT2ZPFK9YZT	11	4	0
A111768JGT20G0	2	1	1
A1158PJX6NEVU0	20	0	1
A114MH965YFHAX	0	0	1
A11O7H4VR89DM5	21	2	3
A114J15B7JYPWO	0	4	0
A115OMQ6JYBT78	28	7	0
A115OIP4AYNQVF	1	2	0
A11PGKVKRY6NDC	1	1	0
A116X7440W3YCQ	1	1	0
A11QXANPKVWRXF	19	2	0
A11SFJ3YC4NNN0	21	0	1
A116XSI0S0OCIT	0	1	1
A11TVTMF4XINOM	7	3	0
A117SX7DR1S7QL	2	2	1
A11V6PN8WST4JB	8	0	1
A1198JCO9BWQEC	1	1	0
A1165I5PFKIFEL	10	6	2
A11WI1HVHFK2X	69	7	2
A11AAABJ1DUT6A	10	0	3
A117ZEQ3R1OE0J	18	1	3
A11YVZ2ULBGSJV	10	2	0
A117B0ZSZBTTDZ	2	0	1
A11ZKPQ5DVXV20	30	2	0
A119KK75AZ1DP6	10	3	0
A118KAHS5UCTQF	4	2	1
A11AAXRGBH11TN	8	1	0
A11BFIZ3YK9VIB	1	1	0
A120WTU2JTJRA1	39	2	0
A11C08FBE0Q9VI	63	15	4
A11BMEGBPKH9N2	0	2	1
A11C5TQL2U9CBL	0	0	1
A11CT149WV158O	1	3	0
A11D6S7D7MHWTB	1	4	0
A11C5MYVGO827T	0	0	1
A11CWDGYCLOZY0	6	4	0
A11FC6BLPXEFH7	1	2	1
A11GL3QGJ3NM44	18	4	0
A11HCG4SYR5JDY	2	0	2
A11IEV8RLM84ZJ	14	3	2
A11JTIUIXNOJW6	9	2	0
A10RJ73FK600DJ	80	23	4
A11KWKGKBJFGO2	6	1	2
A119RW19UWK7PH	52	7	5
A11NGOFI1UII75	9	1	1
A11ONYWTTUQX0Y	2	3	0
A10SWKT3QXM12B	33	0	2
A11F5KW6QXHL8L	9	3	2
A10UM96OZFPIKV	0	0	1
A11ASZYL1OI7W5	16	0	1
A11GH91EN3DNP9	7	0	2
A11H7TDLIX07H0	0	1	1
A10VNAPDN33ORI	1	2	0
A11BQXTMP37M2S	23	3	4
A11CK54QJFJKU2	3	1	1
A11I0SFHUJNXXW	3	2	1
A11PUT622E0IQA	13	11	2
A11JTFT9CF1CRJ	13	1	0
A11KVSCDR9HMOS	4	3	0
A11N4Y0GUL416S	2	2	0
A11OHK0GLO4705	0	0	2
A11EBOES3DZG7C	21	2	1
A11PTMQ0FKHKU8	2	4	0
A11RVFU0HP1DYQ	15	12	1
A11T8VLL650Y26	0	1	1
A11RM5NSW60JCZ	2	3	0
A11G0DXSJXU9JW	0	2	1
A10XIH83Y8ER7Z	18	22	2
A122W2UUIAN426	58	19	4
A10YTMZS4TS1J9	3	1	0
A10ZZ8Q4OU3NVK	10	1	2
A10XU1ERL5JPV8	27	35	2
A11GNUEYXUPVKL	15	2	1
A11EXFO14WEJM1	48	20	4
A10Z1FMO338IBX	1	1	0
A1106LFOX3GOUK	1	2	0
A123W6199027YG	7	2	0
A111HHCU86ONP1	13	6	1
A11UHSGMRVKB8I	6	3	0
A112HCRGNHGEIG	2	1	1
A11537816K0XO8	60	3	0
A11W4EDFB0JSCD	10	2	2
A11T27EKHWTZRW	0	3	1
A11HJUMLB4XW5	5	3	0
A1161TO6E6L84O	14	2	0
A111PI13Y8VS88	9	2	1
A11GA7700P2HE9	6	2	0
A112PXUE62DC97	0	2	1
A11787KLJQOXTK	26	3	1
A11J2THWK8GZY1	5	2	0
A11UEXR1LSZRMG	11	3	0
A11H1UCQ2EZTUR	7	4	0
A11VXXJ6LT9X35	3	3	1
A11HU86UZF2AEP	0	0	1
A115BFYPX8E6NS	8	2	0
A118I2JQBN9ORG	46	2	1
A1167MCFZJOFF	16	1	0
A11WSGJJMFM0J8	4	0	2
A11JNMLUD79LRH	8	0	1
A11Z27LNQV0ZK	1	1	0
A117O44ZF2WD7D	14	2	1
A11KV9NLZ40G2K	35	5	1
A123AUF3Y8QZU0	40	37	7
A11KRK65IW97UK	30	3	0
A11MGM4SAUM8ZF	27	1	1
A1257UOB7BM9BK	158	13	5
A118NMW83CHOZG	6	2	1
A126Y72Z982YXS	2	0	1
A11ZU6I3DUAF85	9	1	3
A119ZRP5ZH6T6P	5	1	2
A119LJN21Z915H	13	6	2
A11B5RZE2A7HVF	25	3	1
A121PXEK3L1U07	12	0	1
A11BR6RY9MAUDW	1	1	1
A11CKDD7UDY6B5	17	2	0
A11X3W1Y5XRTCK	11	9	1
A11EI7VW189BY2	0	1	1
A11Z31PQLKJW20	2	3	0
A11G7571VPY4C1	0	2	0
A11ZVVX09UHM1F	4	1	0
A1235ZFF8E35AI	8	5	1
A1281SLIKTZASM	22	8	4
A1243PCH86AL0W	1	0	1
A12A0GMD6JXIVB	2	2	0
A121R0WGQQ3H6Q	5	1	1
A125PBK41BYKAL	8	1	2
A12AMCM5X6WXM7	17	2	0
A11GQWEI75A7SW	23	1	1
A12CM8NU3D42M6	12	2	1
A11ARYQ7SS070U	60	7	1
A11OEUC2QTW6G4	57	16	2
A11HNPWA5U2YPN	52	3	1
A123797SICR4N0	4	3	1
A11JCIWVHBG5EW	1	1	0
A12E2X9R512XRM	20	1	0
A127M3P8QO3KR2	9	4	2
A128AAZ9S0W8M5	1	0	3
A11PHDFBQMBT11	1	2	1
A11RIMGPJ6S8MR	2	2	0
A1247LFDYISISU	40	4	1
A12A64LDH5KM1D	6	2	0
A125Z0NR7M6S34	0	2	0
A12GR5UA1RHEOO	3	4	1
A11SKYTC8F0ANZ	5	1	0
A11BQKC5YZYA5X	24	3	4
A11KSBJ3BZMEDQ	21	2	2
A12HR1HDS9R8EV	19	2	0
A12J7BY398EWV1	2	2	2
A12KK99PXK7P72	3	1	0
A127PNVG4RAYZY	7	6	1
A11CIH59PCF710	2	3	0
A11EBNRCAG4E8M	59	0	2
A128HSWU33U2VS	13	3	1
A12LPA6BO0B2OF	29	5	1
A11LM1P5W0WKJX	1	2	0
A11FDYKCSMMNVB	0	2	0
A12NEAMW0X0OGW	3	2	1
A11O351PI1PHHO	4	3	0
A11GNPOH0VZ9VU	3	0	1
A11HHDMU9XNHFQ	3	1	0
A11PBE0KXFGR3H	21	0	1
A11U5655TP4M10	28	2	1
A11J2PMG2X1EX8	0	2	1
A1248JRIINWRTH	64	28	15
A11VOGHKR3CRGJ	89	2	2
A11WMW9SV8LGJW	0	1	0
A12P8TZ1TRJUXX	3	3	1
A1262M1XJ64PE4	10	1	1
A12A8JTRPLVWK0	8	2	0
A12PTNBV7X2XF1	5	1	0
A12AZUM52MRZB0	2	1	1
A12RKIVDTX81NP	5	2	0
A11Z1JTXAQ4IO2	21	2	0
A127SQEQI3TNI0	2	2	1
A11ZTR3I4SMZ88	18	1	1
A121C3RIG79BGK	0	3	0
A128PL36J4183V	1	1	1
A12SS75QOWY0QJ	7	2	5
A12A9QKV0LH1UX	3	2	0
A12TY6N95W26QQ	5	2	0
A12BLRKMC1OY9C	12	0	1
A12D029RKNAL3N	2	3	0
A1230R46H3HE8N	6	1	3
A12G6H7K2UWB74	12	2	0
A12VBCCUYOIHLV	4	5	0
A12HATIJJKQBBI	5	1	1
A1243O3H865E8X	17	3	1
A12WURMH84NQ58	85	2	2
A12Y6TSM0IHZX1	5	0	1
A12ZCZT11L836I	36	2	0
A125DR3VIG5N4J	12	3	1
A126ZXDO6JO0GZ	20	2	0
A11KQADBYE0UZL	32	18	5
A130T1JRY82NZQ	3	1	1
A11LAPIR5OLLTZ	0	2	0
A128781LEYG477	9	2	0
A1328F0B77E3TF	28	4	0
A12A4GEF06K5XA	14	0	1
A11QWSV7E21M9Q	48	2	2
A12AVK1ZQDSOUZ	6	8	2
A12AOSF5BI4JS0	6	2	2
A1336ERHT989WX	16	2	0
A12CPPY9OIRRK2	0	2	0
A11NSH8OKUAJLM	12	0	1
A12E4GD1BYI87C	13	2	0
A11P2DO8Q797E5	18	1	1
A12IBM1PV7JWEM	78	5	2
A11LG21L88WB9L	104	11	17
A12CVX4OZQ77JW	2	1	0
A12H2XMDYRRCV9	9	1	1
A11NX3HE31BYJC	7	1	1
A12CWQK040OWRY	7	5	2
A134LKG3ERSUT4	25	2	1
A135LE9EMZHVAV	0	3	0
A136U5WECR2LGJ	0	0	1
A12FK8XG86WYOS	26	0	2
A12F6NCM198RUP	36	5	0
A11P8ILPN4T6AQ	2	2	1
A12H4XFZA6NB0F	20	1	1
A12I9D4LAKAJWO	19	1	1
A11QT793E1EZL	53	4	0
A12JN5NTK8CN2P	16	1	0
A138XTMDX2EYJ9	24	2	0
A11QVGW9142OY5	7	1	0
A12JVZR4GKPE5W	6	3	2
A12HA22FV0GLQC	11	2	3
A12L2GNKE638WB	6	2	0
A12IA57GD6LR6S	19	1	0
A12I4UPML8B5GP	31	7	2
A12MSXZ7CDOP65	7	3	1
A12JHEW1PCOBJ8	5	2	1
A12KLCWNFEO50L	1	0	1
A12O4KP1INNUH6	12	3	0
A13A4JYA8PEVGH	88	8	1
A12KPZ1Q8GAEEM	12	2	0
A12PIQ438BWZRD	13	2	0
A12LZPC84ND5NU	18	3	0
A12LXXPSZJC4JO	5	2	1
A11S3APVH0VI6	43	3	0
A12R5OFLIO3PQY	0	2	2
A11TUVRH3UT2IW	28	1	1
A12JSXDTZELTFK	1	2	1
A11UXM0RUCWQ9F	0	1	0
A12RYMJZHV2420	0	0	2
A12NJRKBGWB5WZ	40	2	1
A13C5WQ1EAIWZF	31	0	1
A12KQ25TQWNH1I	25	7	1
A13EC6YO81PRKU	7	2	0
A11S1QQQ040Z4H	49	8	1
A12M0FG0T5D6VO	21	1	0
A11THU6UGG3THR	28	0	1
A13G43SIPTTGI5	6	1	1
A11UOPUPYN21RK	12	2	0
A12T2YJDP004C2	18	3	6
A12NPB8A053CLU	15	4	0
A12NS74IM0JYGG	18	2	1
A11W7OW0SIUPOW	8	0	1
A13HYW5BRHRF05	13	3	0
A11XLGRP0IJL3B	9	0	1
A12PCFKN5CDT97	4	2	1
A12USWLTY9CVD0	3	2	0
A12PG28ZIDR5WZ	0	3	0
A11ZFJU7P72GHR	1	1	1
A12QZXSZRLAWU0	1	1	1
A12RX421D9YBUD	4	0	1
A12WN5KYKWPIVU	1	1	0
A120AZXHQG0DZP	8	2	1
A12X9W63YJV90X	4	1	1
A12QCZPZVFPE5H	5	3	1
A12YWDJFY6UZUO	16	1	1
A13JKM43439H1V	13	6	2
A13L3NSRALJ9RL	7	2	1
A12T16M30ZHTWB	5	4	2
A12UBUJYLJMK7Z	1	0	1
A12RTI1A9V9RUN	1	3	0
A13NHSKGZ5HAPF	58	3	1
A12SZHA44T0ZAZ	24	1	1
A13Q3TXOPXZ0YV	8	0	1
A12VM2HHWDK2WA	10	5	0
A12U5QDDHT6VK5	2	0	1
A11WBEK5XODYVM	41	11	4
A12X7BH0M0YDRX	4	2	1
A12VLIL7WVEN1L	9	0	1
A13RBISZHUPSVI	22	6	1
A12YWBN82A8KF5	6	2	1
A13T3MWW31RFNJ	1	1	1
A13UHK8M4LX9D1	12	5	1
A13W0DV4LF43K2	101	18	4
A13XL61UZR0RVV	1	0	1
A13Z7WJ4L7XVK7	19	2	1
A11Y478PJDW2QV	108	12	4
A141I26R432PFI	4	1	0
A12ZTK7UYC8RTE	1	7	0
A142ESG4CKT3DI	22	3	0
A130512DQLSS8P	0	23	7
A131B5A83SMJH0	0	2	0
A11ZKKYHH2S68V	31	0	3
A120TEGVZQTS6A	9	1	0
A122T270LSUX3D	0	1	1
A132MWGBVM5LV8	6	1	0
A1318CA5UU0SVV	0	3	0
A123T3NS3M29AX	1	2	0
A133XFF5Q9FHSF	11	3	0
A132E0JLCFY7SH	22	1	1
A133VTM7RGAVS2	18	2	1
A134Y04EV172TL	3	3	0
A13529DMJ9TVLA	2	2	1
A143TYYAF8RQ1H	29	4	1
A136CIHC3YCIRQ	2	1	0
A144QL6NC4AW3Z	5	1	1
A1368SY5CA0LM9	3	1	0
A146367JANQ3UN	37	1	0
A137W48G9MB9CV	6	2	1
A121XO3OU9CPZ6	215	18	1
A123J6ARQA6WL1	0	1	0
A147KH8HDQPLJW	34	4	2
A1392QK5974UID	2	2	0
A124JRC1KUV0SC	6	3	0
A1494GCUO0H5B4	8	2	1
A124XFKG7XD0IV	26	11	0
A14BVTNJUSK61H	1	1	0
A14CX1SOG3HGJR	16	0	1
A126WAQ77GGYWM	23	2	2
A14F2LZT795Q0E	7	2	1
A14GHTZSRUCXHY	16	3	0
A13853O9CBLTEY	68	19	6
A13AS0K1QL2IWB	59	2	1
A1280MH6G0855B	14	3	2
A126CD2JJFCYQR	18	4	3
A14I2M46ZFOV1V	8	3	1
A13D7O01FIFJN4	8	3	0
A127UO7V9HMV3B	9	0	1
A129MOUIY85LCE	40	0	1
A14JU8VFR6ZZYG	4	0	1
A1291W8OD3K50G	3	1	1
A12ALJJOYA7UGG	34	0	3
A13ESNNMDCR5UG	0	2	0
A1397V1PJ6MVP4	45	5	2
A13GWW5PQ84A8R	7	2	0
A13ATPO65LQ979	2	0	1
A14L8FIDU33U73	2	1	3
A13DLDA1VNDYUW	12	0	1
A12C8EY1YBVRLG	11	2	1
A13I76HC7WOU3A	4	5	1
A13F2NVMF3USY0	5	3	0
A12DPI5C8G2PNV	18	1	0
A14MGSSETF83YM	3	2	1
A13GZELLIWS2JL	7	0	1
A12GPQ595NKSMC	3	1	1
A12HK54DZ8B2GX	0	1	1
A14OE2HGKOOIL2	1	1	0
A14Q1ACBKIZLL4	20	2	4
A13KFNAMTEJ4F3	27	11	2
A14R5LT5PXD8BH	23	1	1
A14SDIEJU7QQ6R	4	1	1
A14TZ6O8D688Y9	0	1	1
A12ABV9NU02O29	92	11	3
A14V7PTVMQWUYU	1	4	1
A12IVL1M24W9HV	21	9	3
A12BOAVMQ6FDSX	2	2	0
A12KHL8EJ5WPZ2	2	0	1
A12D35XNUY95IU	21	0	1
A12LLED6ID4CGU	14	1	2
A12G8WFVFU2RGO	29	7	2
A14WI2I9TL3TP9	5	0	3
A12N8EEKWARPA3	8	2	1
A12P0TK4W4WTTL	5	3	1
A14XRIAW290TUD	3	0	1
A12HCOKL5QNQ0Y	8	3	0
A14ZXE9EETSHXA	5	0	1
A151BMQPK1IVCL	2	0	1
A152TT0RQUR21G	27	1	0
A154G4HBCNHBM0	22	1	1
A12IDX4C58Q55S	1	3	0
A15651QZUX9YUX	2	0	1
A12JZ8BVKPEPJS	7	2	1
A157O8BX9BSC44	4	2	1
A12L9A80W0QZ2Z	0	0	1
A159CZLUKYT32Q	39	3	1
A15B06ETTT5FBJ	1	2	0
A15C1PYEWNX68X	3	0	2
A12MUONDZP7BG4	9	4	0
A12OFFVSQAGY0J	27	1	0
A12PM5WJ4XFVA0	4	2	1
A11S26M1MUM7O7	129	26	9
A11TUBMZ17ZEUD	3	1	1
A11UU9EQQ6EOVZ	3	3	1
A13IEAQ1T6PT98	68	14	8
A11W9XPH354T5H	0	0	1
A15D579DXA3HSZ	42	2	2
A13KHI453YCB4T	17	2	0
A12R65XRHV9NW1	3	2	2
A13M0NY869UTC6	24	3	1
A11Y182DV6D7F9	36	5	1
A11ZJWDSUNRQH2	3	1	0
A12S14T63C30O5	2	1	1
A12T7HIJFCMNZW	3	0	1
A15E5ROTCPOX78	17	4	2
A12PAMLZ1QJ1UA	13	33	13
A120MLWMC8AJ6L	3	3	0
A15F4DYC74CSHM	2	1	1
A12UVLHMJIJNWR	3	3	2
A15HBX0LN6H3C	1	1	2
A12Q38GH8B15F8	7	3	1
A12RNT7ZWXPJOQ	17	0	1
A15IXVJLRAHWMO	1	0	1
A15L43SJTE8GB3	17	2	1
A12SWF8EW0HVOB	17	3	1
A12X4M86C3LI91	112	31	1
A12WPD5WLY9I26	0	3	0
A13LIB4E8IKO0X	60	8	15
A12U3ZQBLBSA6N	9	2	2
A12YNN037Q2XWW	9	3	0
A15MAXN7WH3AVB	5	1	0
A12VE6LXID1IKD	19	1	0
A15NRXQH22UMHW	0	1	0
A13ODXOC0R9TKZ	4	3	0
A13QGP4GJZUN7J	22	1	1
A15P1GV2QXRCB2	8	1	1
A12XDFBF0FS64O	6	1	0
A122C488CULR1J	0	3	1
A12YY2RPUY04LB	27	2	1
A123LSJJDNFXNY	2	1	0
A124SJDZ78272I	0	1	0
A12WZ1O3DQRH90	9	1	1
A12YC5HJCPUR2V	1	0	1
A13S5BQ0VY2LTT	71	2	1
A12ZD4FNRXKXLH	1	2	1
A13TZDFUBZU04H	5	2	0
A12ZQF02W82RUJ	25	2	3
A130XRO8J0NFEN	32	3	0
A13USCRGB89G7T	1	3	0
A13168GI6RZ8UR	1	2	1
A1328P4H48Y76S	50	1	0
A132DJVI37RB4X	1	1	1
A133I7MKTW1ZBO	3	4	0
A126W7I071FBTS	2	0	1
A15QJAZZVKBZ0E	26	8	2
A134N8OOIYYDGO	12	3	0
A135SZUUYGMDGQ	9	2	0
A15R8CRMDE20V0	9	2	4
A133SGZJ2UBGLX	6	2	1
A130FHSBS3NGS	7	1	1
A1371WM93T51AX	5	1	1
A15S627PSNC01J	7	1	0
A138Y2HJTLFMHX	1	0	1
A127ZEDN3KWU2D	13	3	1
A131BXYR9CYYJP	4	1	1
A132MZXCL0UHNY	0	0	1
A13AJOHKVS1PFK	11	1	2
A1293LH25JET00	21	2	0
A13WEAPFRQWMHL	31	1	2
A13CEOFSACA491	18	2	0
A13YD1S0IYDHC4	13	4	0
A12ACW0DM2FCLX	12	1	0
A13EPVR04V9YVM	11	4	0
A1340GL04SILGC	32	5	0
A13ZWPK5LH2987	1	0	2
A1358PMYFKCYQG	5	0	1
A12C43CDD4NEEG	5	4	0
A141VQ6PS6ZABJ	41	1	1
A12PSSIA6RUKC6	90	28	3
A12DCRMQOH93YK	0	2	0
A143E08YLY851N	31	5	3
A1441WFJ5KRP7J	7	3	0
A145H95TC4DVOT	8	1	1
A1473LM1BQRSFV	1	1	0
A12RIRSZF47MTI	43	8	1
A13P64FTQPJICL	71	9	1
A13QHARS4T8H8A	5	2	1
A147ZMOG6JMXXX	25	2	1
A13S8FD31VK0YG	1	0	2
A14A22PBTFWQ8M	2	1	1
A13U7KNPLCEWT0	20	3	1
A15TIAG5RDIGGY	114	21	3
A13UXN6I7086SS	7	2	1
A13G57IHYX7CAP	44	9	9
A13WQVHNRQ26MX	9	2	1
A136O53RBLMHSL	90	18	0
A15VAS9ZV4HCT6	8	1	2
A138JP3H6W2NUI	12	1	0
A14CGRZJY243VM	2	3	1
A13I0LA5DHGJMZ	3	2	1
A139H7T4I1LKKQ	6	4	0
A13JPPGD9JBN3C	3	1	1
A14E8WQ2TE65BU	14	1	0
A14FR5RAG0CDD	3	2	2
A13B92MEBO2RZA	0	1	0
A12GJZ3T118DXA	67	17	4
A134OXKUUA2N57	67	27	7
A1363J97W6NK7I	9	1	1
A13722MUXS28OL	11	2	0
A14HG76YRVTZ9S	5	2	1
A13DUCI1CWXZMV	3	1	1
A139084IQ5GB0I	2	2	0
A13AKLM7PCKHET	10	1	1
A13FMLOCS115N6	14	3	1
